avg_voltage,avg_temperature,battery_life_months,cycle_count,label
3.327,39.19,61.5,1127,0
3.419,34.96,40.8,861,0
3.456,44.52,59.3,1131,0
3.292,39.37,49.5,1096,0
3.196,35.65,48.1,1045,0
3.903,28.31,3.6,122,1
3.546,31.65,21.0,467,1
3.804,30.05,17.0,331,1
3.989,31.52,5.0,88,1
3.401,40.1,55.7,1124,0
3.571,34.99,43.3,872,1
4.037,20.77,7.6,131,1
3.612,34.13,40.2,770,0
3.761,33.22,14.5,344,1
3.66,34.8,39.6,806,1
3.882,23.1,19.2,386,1
3.599,35.45,48.8,956,0
3.712,31.44,12.3,277,1
3.172,41.45,59.1,1185,0
3.615,28.23,23.1,460,1
3.959,23.58,1.0,22,1
3.789,26.93,11.2,253,1
3.505,32.36,37.6,748,0
3.528,29.62,42.6,857,0
3.515,33.23,24.8,475,0
3.373,42.31,52.0,1083,0
3.756,26.83,24.8,511,1
3.605,37.48,34.5,700,1
3.481,36.89,50.4,976,0
3.965,31.05,7.6,190,1
3.414,37.09,48.4,958,0
3.491,33.99,34.9,687,0
3.54,38.09,51.2,958,0
3.736,29.67,26.1,563,1
3.54,38.98,40.3,832,1
3.306,36.07,55.9,1155,0
3.577,31.88,29.0,647,1
3.762,26.84,4.6,21,1
3.591,33.98,39.6,841,0
3.924,29.42,6.7,167,1
3.575,33.98,22.0,388,1
3.686,35.55,26.5,601,1
3.782,23.14,17.3,316,1
3.791,25.55,1.0,14,1
3.658,31.11,14.6,242,1
3.549,30.76,34.5,777,0
3.578,34.23,24.7,565,1
3.633,38.23,43.8,898,0
3.949,22.51,6.5,92,1
3.469,39.45,47.7,956,0
3.698,32.18,24.8,509,1
3.645,36.65,41.5,776,1
3.967,22.54,6.1,35,1
3.847,28.03,11.6,206,1
3.249,33.7,54.0,1105,0
3.693,30.99,50.5,1026,1
3.279,38.2,48.5,1022,0
3.586,35.38,28.5,566,1
3.17,39.88,53.2,1130,0
3.602,33.6,36.3,703,1
3.714,29.46,24.1,402,1
3.612,31.3,37.9,730,0
3.645,26.36,7.2,162,1
3.91,28.79,11.2,202,1
3.321,36.14,53.0,996,0
3.75,30.63,16.6,270,1
3.585,35.79,38.8,816,0
3.698,31.65,23.8,456,1
3.425,40.38,50.5,1017,0
3.832,27.12,16.4,296,1
3.583,35.98,36.8,720,1
3.697,28.07,12.2,338,1
3.444,37.01,43.3,879,0
3.383,36.53,54.2,1077,0
3.414,32.17,36.7,792,0
3.891,27.99,12.0,217,1
3.547,28.89,35.2,764,1
3.813,26.46,7.8,188,1
3.829,24.93,21.7,380,1
3.641,33.5,22.9,493,1
3.349,41.46,54.4,1065,0
3.261,37.17,55.5,1181,0
3.927,26.47,4.9,15,1
3.898,28.51,2.6,65,1
3.573,34.22,26.2,521,1
3.306,40.06,58.0,1153,0
3.51,35.3,33.6,648,1
3.286,36.64,51.3,1087,0
3.146,39.79,58.1,1163,0
3.58,31.01,28.3,593,1
3.534,27.7,16.2,392,1
3.644,30.35,22.9,419,1
3.694,29.66,13.7,289,1
3.816,33.23,19.4,379,1
3.683,28.68,11.9,231,1
3.315,39.65,50.2,1018,0
3.841,27.47,6.0,41,1
3.316,46.21,52.5,1052,0
3.969,21.26,3.6,135,1
3.686,25.45,9.2,201,1
3.472,39.17,40.0,780,0
3.468,35.57,47.6,930,0
3.46,40.87,50.7,1057,0
3.326,39.09,55.5,1072,0
3.457,37.6,21.6,503,1
3.681,26.75,22.6,407,1
3.633,38.73,37.6,805,0
3.879,31.49,4.5,99,1
3.582,30.51,36.3,684,1
3.431,36.42,36.5,726,0
3.303,34.12,49.7,961,0
3.595,32.75,31.9,613,1
3.436,32.27,34.7,643,0
3.464,30.65,53.6,1029,0
3.564,32.56,24.2,503,1
3.514,35.02,39.6,767,0
3.512,34.41,16.8,398,1
3.425,37.72,43.4,871,0
3.384,41.81,41.4,795,0
3.471,30.23,19.9,393,1
3.851,27.27,11.2,207,1
3.545,37.43,51.5,1039,0
3.567,34.83,46.9,892,1
3.536,29.18,43.0,864,1
3.487,33.63,36.2,743,1
3.699,25.85,30.0,564,1
3.512,39.12,48.2,1021,0
3.866,22.48,5.8,96,1
3.539,28.38,22.2,485,1
3.735,25.88,14.1,231,1
3.696,33.75,36.9,749,1
3.295,39.96,60.0,1195,0
3.297,35.02,27.9,541,0
3.223,36.52,49.1,1060,0
3.595,33.0,24.9,525,1
3.412,47.99,61.3,1184,0
3.318,40.01,57.2,1110,0
3.716,31.68,29.5,578,1
3.506,31.19,31.4,682,1
3.425,31.38,29.0,557,1
3.344,35.0,52.1,1013,0
3.611,33.88,32.4,646,0
3.528,35.26,42.2,796,0
3.248,31.66,51.2,1052,0
3.77,27.32,8.5,190,1
3.852,36.14,26.7,633,1
3.463,31.65,33.2,628,0
3.48,35.2,49.3,973,0
3.335,29.74,32.1,710,0
3.662,27.54,28.9,649,1
3.652,31.47,14.2,318,1
3.598,33.01,35.8,684,1
3.439,35.62,32.6,664,0
3.361,43.81,55.2,1137,0
3.588,33.29,20.1,442,1
3.546,30.42,26.1,564,1
3.376,39.65,53.0,1137,0
3.381,35.06,45.2,952,0
3.386,36.69,53.1,1105,0
3.531,34.77,36.3,699,1
3.85,23.92,5.3,113,1
3.944,18.4,1.0,2,1
3.544,30.36,36.7,642,1
3.69,26.83,9.7,220,1
3.419,40.25,45.1,855,0
3.827,28.34,22.5,385,1
3.335,40.96,54.6,1154,0
3.277,37.96,54.0,1077,0
3.575,37.8,35.5,730,0
3.823,31.56,11.2,247,1
3.534,38.98,42.9,836,0
3.701,22.34,8.9,203,1
3.77,27.16,5.2,123,1
3.632,32.29,19.7,401,1
3.48,35.73,37.6,767,0
3.807,30.58,12.4,294,1
3.79,28.68,15.6,280,1
3.496,33.82,46.3,884,0
3.936,22.38,10.6,198,1
3.478,35.34,48.3,982,0
3.51,42.43,36.2,752,0
3.71,25.34,5.8,144,1
3.524,26.73,35.2,609,1
3.3,41.55,59.3,1148,0
3.889,29.9,7.7,187,1
3.665,34.66,23.5,464,1
3.504,34.66,32.3,660,1
3.445,37.09,39.4,764,0
3.416,42.46,48.8,955,0
3.787,27.8,22.3,403,1
3.986,24.01,5.6,147,1
3.293,36.37,58.8,1172,0
3.464,35.0,39.7,864,0
3.534,35.41,21.9,489,1
3.629,38.2,48.2,929,1
3.484,33.35,25.6,551,1
3.848,23.77,15.2,338,1
3.427,33.82,43.6,872,0
3.52,27.51,33.4,641,1
3.552,34.43,21.5,473,1
4.066,31.64,1.0,151,1
3.791,30.63,11.4,263,1
3.83,23.84,9.6,144,1
3.816,33.77,18.0,346,1
3.523,32.04,33.8,624,1
3.392,34.07,48.6,1017,0
3.465,33.12,40.8,881,1
3.848,23.73,1.0,2,1
3.571,36.36,45.3,897,1
3.751,27.69,13.3,254,1
3.518,26.42,24.5,453,1
3.339,41.9,53.9,1061,0
3.333,39.35,60.0,1184,0
3.303,35.55,52.2,1015,0
3.814,28.44,1.5,9,1
3.284,35.49,57.9,1123,0
3.614,30.31,42.8,816,1
3.747,31.42,13.5,208,1
3.465,45.11,56.5,1155,0
3.637,28.66,21.2,404,1
3.857,26.76,6.9,152,1
